generation,N_shifts,logPrior,logLik,eventRate,acceptRate
155000,0,8.45417,-380.141,0.666179,0.253933
156000,0,8.74674,-377.932,0.0752594,0.2385
157000,1,15.3668,-375.296,1.17715,0.27925
158000,0,9.20633,-378.283,0.0162589,0.232333
159000,0,8.73056,-377.506,0.32407,0.286667
160000,0,9.27425,-377.849,0.166131,0.328
161000,0,8.516,-378.138,0.805052,0.423
162000,0,8.7552,-378.286,0.575934,0.304
163000,0,8.80364,-379.387,0.588251,0.351
164000,0,8.00029,-378.324,1.43387,0.274
165000,0,8.26059,-379.241,1.21583,0.266875
166000,0,9.2937,-378.553,0.0980945,0.267
167000,0,8.70267,-378.402,0.567397,0.293
168000,0,6.54624,-378.337,2.71948,0.264
169000,0,8.65887,-378.491,0.582996,0.232
170000,0,9.43777,-378.437,0.0110011,0.27125
171000,0,9.36774,-377.982,0.181391,0.4675
172000,0,9.33043,-378.084,0.107579,0.295385
173000,0,9.49405,-377.64,0.0287345,0.321222
174000,0,9.3057,-380.185,0.264126,0.304
175000,0,9.00861,-380.36,0.314201,0.322
176000,0,8.38407,-377.883,1.11312,0.3205
177000,0,8.26716,-378.426,0.505183,0.312667
178000,0,8.44929,-378.473,0.778597,0.323
179000,0,9.24564,-377.722,0.333505,0.268
180000,0,8.92468,-378.089,0.329885,0.303
181000,0,8.29431,-377.935,0.735629,0.297
182000,0,6.6988,-378.445,2.56612,0.292
183000,0,8.83261,-377.832,0.621852,0.37
184000,0,9.42217,-377.886,0.0279939,0.289444
185000,0,8.84165,-377.7,0.377044,0.258111
186000,0,8.48952,-378.647,0.970885,0.2685
187000,0,9.03851,-377.683,0.353385,0.347
188000,0,8.6369,-377.999,0.735584,0.275
189000,0,8.58122,-377.78,0.392603,0.256
190000,0,8.15092,-378.063,1.31053,0.2947
191000,0,8.43204,-377.971,1.09461,0.375
192000,0,9.25659,-378.435,0.153798,0.328444
193000,0,8.45546,-377.93,0.735232,0.3065
194000,0,8.50268,-377.705,0.728453,0.373
195000,0,9.2523,-377.826,0.0756111,0.312667
196000,0,7.55125,-378.398,1.29052,0.286
197000,0,8.02618,-378.268,0.130867,0.232333
198000,1,14.4371,-378.297,2.26267,0.310429
199000,0,8.14858,-377.501,1.06288,0.261
200000,0,7.58448,-378.372,1.3351,0.223
201000,1,13.298,-376.137,1.21512,0.294
202000,0,8.9164,-377.441,0.447115,0.376667
203000,1,14.2947,-377.362,1.78143,0.414
204000,0,8.13746,-378.44,0.196056,0.301333
205000,0,7.13138,-378.408,0.989435,0.238
206000,0,9.0601,-378.096,0.352121,0.296833
207000,2,20.5026,-376.4,2.71265,0.421
208000,0,9.0836,-379.066,0.188372,0.319
209000,1,18.3704,-374.221,0.451389,0.319
210000,0,7.5046,-377.775,2.01734,0.373
211000,0,8.98558,-381.681,0.277548,0.411
212000,0,7.86509,-380.211,1.51034,0.267
213000,0,9.21679,-379.456,0.0150489,0.292429
214000,0,8.28422,-379.464,0.819238,0.316222
215000,0,9.02894,-377.474,0.334177,0.295
216000,0,9.37576,-378.375,0.0838575,0.310692
217000,0,8.42249,-377.688,0.574775,0.3065
218000,0,9.22285,-378.145,0.301585,0.333
219000,0,8.40514,-379.441,0.942976,0.315167
220000,0,9.3166,-377.461,0.049882,0.292
221000,0,9.03509,-378.144,0.139633,0.285
222000,0,9.02024,-378.033,0.0822848,0.252
223000,0,8.58917,-379.572,0.0651771,0.381
224000,0,9.06347,-377.477,0.234719,0.33375
225000,1,12.6544,-375.226,1.37376,0.292
226000,0,8.68382,-377.642,0.222531,0.322
227000,0,8.41579,-379.245,0.236359,0.291429
228000,0,8.47875,-378.455,0.121455,0.26
229000,0,8.37789,-379.156,0.198132,0.251
230000,0,6.89543,-379.906,1.32328,0.231667
231000,0,8.21753,-377.806,0.590304,0.2344
232000,0,7.56865,-377.771,1.31969,0.242
233000,1,17.437,-375.988,0.498478,0.304
234000,0,8.61157,-377.874,0.0716859,0.524
235000,0,7.75168,-378.159,0.600447,0.214
236000,0,7.85363,-378.194,0.525177,0.217
237000,0,7.60795,-379.011,0.192224,0.238
238000,0,8.78682,-377.859,0.727263,0.325833
239000,0,9.33097,-378.659,0.211479,0.315
240000,1,17.5719,-374.968,0.631439,0.389
241000,4,37.6241,-377.039,2.45014,0.581
242000,2,26.4562,-380.653,1.03814,0.457
243000,0,8.65996,-378.105,0.801442,0.385
244000,0,8.3633,-378.924,1.0312,0.276
245000,0,9.04416,-377.682,0.526429,0.275
246000,1,17.0365,-380.244,1.57515,0.359
247000,0,9.13421,-379.9,0.161942,0.317
248000,1,16.3039,-374.732,0.854791,0.384
249000,0,9.3697,-377.82,0.107291,0.267
250000,0,8.96918,-377.69,0.609467,0.369
251000,0,9.09222,-377.993,0.139477,0.308
252000,0,8.25808,-379.706,0.0350671,0.247467
253000,0,8.36883,-378.328,0.553229,0.212
254000,0,8.67754,-378.413,0.382511,0.241
255000,0,8.128,-377.967,0.832101,0.288
256000,0,8.89443,-378.657,0.104676,0.318763
257000,0,7.88591,-379.25,0.475285,0.260462
258000,1,17.282,-373.847,0.289761,0.287
259000,0,8.9521,-377.727,0.143336,0.262667
260000,0,8.33816,-381.405,0.295585,0.2425
261000,1,14.771,-379.549,1.01961,0.287
262000,0,8.31651,-378.256,0.276507,0.255857
263000,0,8.86414,-378.273,0.232329,0.310167
264000,0,9.37042,-377.784,0.0247642,0.307667
265000,0,8.33763,-378.42,0.925853,0.283
266000,0,8.5076,-378.212,0.17936,0.22
267000,0,9.50409,-378.318,0.0448335,0.3065
268000,0,9.34425,-378.537,0.0891429,0.268
269000,0,9.15994,-379.367,0.301244,0.335
270000,0,9.02466,-379.925,0.0483279,0.292833
271000,0,8.96472,-378.179,0.455304,0.296
272000,0,9.41391,-377.784,0.142425,0.302462
273000,1,16.7995,-375.694,0.934659,0.36
274000,1,14.976,-375.276,0.556773,0.5
275000,3,27.4997,-379.114,2.22646,0.484
276000,0,7.2805,-378.669,1.83184,0.404
277000,0,9.02315,-378.374,0.423254,0.392625
278000,0,9.4472,-380.052,0.163478,0.3245
279000,0,6.91459,-377.974,1.91747,0.357625
280000,0,8.24808,-377.604,0.766048,0.269
281000,0,8.98018,-378.459,0.367457,0.27
282000,0,9.07065,-377.456,0.0964279,0.334933
283000,0,8.69299,-378.518,0.0982732,0.286
284000,0,8.61223,-380.493,0.260012,0.2655
285000,0,8.00348,-378.992,0.0869306,0.242
286000,0,6.62344,-381.07,1.79944,0.2385
287000,0,8.25824,-378.206,0.745537,0.173
288000,1,16.8635,-375.91,1.18044,0.256
289000,0,8.84097,-377.891,0.570821,0.297083
290000,0,8.84369,-378.755,0.364863,0.234
291000,0,9.21934,-378.104,0.111813,0.42225
292000,0,9.5211,-377.837,0.00569523,0.311
293000,1,16.0898,-378.352,1.16494,0.436
294000,0,8.26887,-378.27,0.544301,0.303
295000,0,8.96161,-378.11,0.0307752,0.352143
296000,0,8.6735,-377.539,0.370789,0.2275
297000,1,15.4437,-377.95,0.802409,0.414
298000,0,7.07843,-378.634,1.56537,0.237
299000,0,8.3005,-378.116,0.445527,0.38
300000,0,8.9512,-377.904,0.507653,0.306667
301000,1,6.84398,-380.735,1.20931,0.2445
302000,0,8.39535,-379.253,0.460255,0.302
303000,0,8.41901,-377.865,0.477339,0.323
304000,0,8.26367,-378.533,0.986713,0.316714
305000,0,8.20721,-378.482,0.550197,0.306917
306000,0,8.50792,-378.097,0.70966,0.2815
307000,0,8.91503,-378.661,0.210086,0.248
308000,0,8.61364,-378.075,0.0381662,0.2354
309000,1,15.6084,-378.543,0.345451,0.280444
310000,0,7.22432,-379.981,0.307987,0.2495
311000,0,7.90917,-379.087,0.133443,0.19
312000,1,14.8723,-376.466,1.26191,0.388
313000,1,17.2302,-375.767,1.42554,0.333333
314000,1,16.8914,-376.209,1.48807,0.316
315000,0,7.22865,-379.054,1.82469,0.409
316000,0,8.67623,-377.62,0.557341,0.2865
317000,0,8.12131,-378.458,0.315109,0.272
318000,0,8.64082,-379.347,0.0426712,0.23
319000,0,8.84492,-377.538,0.231227,0.3219
320000,0,8.46412,-377.883,0.556173,0.376
321000,1,15.4791,-374.361,1.29022,0.315167
322000,0,8.16154,-380.87,0.465108,0.283
323000,0,7.8085,-379.444,0.811735,0.281
324000,0,7.90921,-378.36,1.12028,0.208
325000,1,16.1648,-374.607,0.950339,0.29305
326000,0,8.37944,-378.229,0.816587,0.268
327000,0,8.91507,-379.319,0.432618,0.297889
328000,0,8.45143,-378.977,1.1015,0.30825
329000,0,9.11019,-378.531,0.273201,0.345
330000,0,8.20927,-378.353,0.966846,0.2715
331000,1,12.4996,-375.712,0.741049,0.289
332000,0,8.55091,-378.127,0.00832578,0.2763
333000,1,15.9414,-380.419,0.554645,0.253
334000,0,8.33931,-377.515,0.599357,0.301
335000,0,9.12458,-378.892,0.194907,0.219
336000,0,9.05258,-377.531,0.346461,0.3232
337000,0,8.96005,-378.422,0.0170901,0.272909
338000,0,9.06278,-379.267,0.111813,0.379
339000,0,9.1302,-377.635,0.247963,0.27475
340000,0,9.13558,-379.89,0.173764,0.289
341000,1,12.8016,-375.015,1.39901,0.453
342000,0,9.04583,-377.862,0.396435,0.511
343000,0,7.13832,-379.046,1.33101,0.307857
344000,0,9.20753,-379.631,0.078702,0.295267
345000,0,7.95306,-378.598,0.00818339,0.286
346000,1,16.009,-377.754,0.332295,0.323
347000,0,9.37632,-381.303,0.00696875,0.289778
348000,0,8.39989,-379.971,0.731486,0.294
349000,1,16.0147,-379.075,1.04815,0.339
350000,0,9.35604,-377.95,0.0121082,0.366
351000,0,8.86165,-377.719,0.0858281,0.31375
352000,0,9.16391,-379.594,0.0356282,0.285
353000,0,9.15725,-377.602,0.174586,0.281
354000,0,9.16464,-377.508,0.235161,0.283273
355000,0,8.16873,-378.585,0.969286,0.252
356000,0,8.81942,-379.409,0.0168902,0.313417
357000,0,8.94084,-381.461,0.13408,0.296
358000,0,8.49822,-377.877,0.799611,0.2825
359000,0,7.79885,-380.333,0.132719,0.24675
360000,0,5.44823,-377.711,3.17966,0.205
361000,0,7.03223,-377.946,1.45792,0.251
362000,0,7.61387,-379.277,0.148812,0.2845
363000,0,9.12438,-381.605,0.182649,0.396
364000,0,8.80315,-379.103,0.69597,0.303286
365000,0,7.15161,-380.214,0.577374,0.311
366000,0,8.83647,-378.111,0.436401,0.258
367000,0,9.19202,-379.406,0.275796,0.278
368000,0,8.0982,-379.155,0.316448,0.220714
369000,0,6.41731,-378.857,0.138039,0.2918
370000,0,7.94533,-378.334,1.57459,0.272
371000,0,9.12016,-378.368,0.146926,0.299
372000,0,8.80968,-377.572,0.370598,0.32
373000,0,9.05903,-378.793,0.12349,0.255
374000,0,8.81606,-377.581,0.706453,0.252
375000,0,8.76065,-378.31,0.517924,0.363
376000,2,26.3806,-376.242,1.24639,0.512
377000,0,9.40524,-378.867,0.0825886,0.341
378000,0,8.77109,-378.051,0.356993,0.289115
379000,0,8.64699,-377.477,0.284498,0.247
380000,0,8.38015,-379.881,0.703551,0.243667
381000,1,15.7369,-374.805,0.574017,0.434
382000,0,8.66771,-378.029,0.101223,0.306
383000,0,9.11407,-380.262,0.0713762,0.261
384000,0,8.69777,-377.694,0.115796,0.242
385000,0,9.24228,-377.59,0.122975,0.252706
386000,0,9.16352,-377.456,0.0829663,0.277474
387000,0,8.11454,-378.618,1.10151,0.288
388000,0,8.79804,-378.72,0.420373,0.252
389000,0,8.53003,-377.603,0.751578,0.221
390000,0,9.16686,-377.624,0.244215,0.299
391000,0,8.84161,-379.671,0.638869,0.292714
392000,0,9.44451,-378.083,0.02231,0.351
393000,0,9.53722,-377.613,0.00346609,0.353
394000,0,8.62946,-378.191,0.827215,0.283067
395000,0,8.4107,-377.82,0.483078,0.257
396000,0,7.47039,-378.936,1.11786,0.249
397000,0,8.7744,-378.431,0.0486203,0.246
398000,0,8.62393,-377.822,0.217132,0.244667
399000,0,8.94994,-377.775,0.20296,0.270667
400000,0,8.63244,-377.784,0.550379,0.281714
401000,0,9.19941,-377.624,0.111766,0.284
402000,0,8.91166,-377.606,0.448276,0.266
403000,0,9.08324,-377.829,0.212165,0.225
404000,1,17.7738,-378.618,0.0881476,0.277571
405000,0,8.50585,-377.813,0.62523,0.312
406000,0,8.70633,-377.628,0.683652,0.291
407000,0,7.30721,-380.597,0.972759,0.261556
408000,0,8.74536,-379.73,0.0635032,0.258333
409000,0,9.07979,-378.424,0.201641,0.255833
410000,0,8.99363,-377.97,0.0735351,0.274
411000,0,9.2765,-378.024,0.286873,0.296
412000,0,8.30728,-379.269,1.06444,0.266
413000,1,16.2453,-380.756,0.368429,0.304
414000,0,9.12118,-378.352,0.00823589,0.348
415000,0,9.47776,-377.778,0.034659,0.333
416000,0,8.96837,-379.085,0.387453,0.298
417000,0,8.60253,-379.626,0.794571,0.312
418000,0,8.24193,-378.727,0.0776943,0.264273
419000,0,8.17956,-378.112,0.0870432,0.245444
420000,0,7.84862,-378.902,0.343057,0.209
421000,1,15.8348,-381.524,0.453715,0.262
422000,0,9.01258,-377.909,0.0467739,0.283687
423000,0,8.32771,-381.113,0.0277238,0.331
424000,0,8.38319,-379.059,0.216106,0.222
425000,0,7.07717,-378.163,2.09567,0.241
426000,0,8.55151,-378.199,0.372966,0.2698
427000,0,9.41125,-377.807,0.0823672,0.2962
428000,0,9.19991,-378.233,0.1953,0.331
429000,0,8.61204,-377.601,0.754969,0.316
430000,0,7.56304,-378.343,1.23589,0.238
431000,0,7.20002,-377.978,1.42009,0.279
432000,1,15.3252,-377.508,1.98047,0.257
433000,1,15.2326,-375.366,1.42198,0.277625
434000,0,8.84094,-378.295,0.318672,0.2735
435000,0,8.8275,-377.444,0.293016,0.218
436000,0,8.50788,-378.569,0.349235,0.267667
437000,0,8.57321,-377.518,0.675454,0.273
438000,0,8.63664,-379.032,0.342453,0.279
439000,0,8.91677,-378.05,0.498821,0.243
440000,0,9.28415,-377.424,0.0200669,0.314
441000,0,8.66751,-378.802,0.768677,0.261
442000,0,9.21735,-377.72,0.157278,0.351
443000,0,7.94173,-378.257,0.47678,0.2915
444000,0,8.75503,-379.297,0.0333736,0.216
445000,0,8.81567,-377.986,0.394692,0.250077
446000,0,8.2432,-378.874,1.02304,0.293
447000,0,9.2152,-377.49,0.238106,0.263148
448000,0,8.01752,-378.59,0.00506709,0.22325
449000,0,7.7076,-378.735,0.561945,0.213
450000,0,8.94326,-377.64,0.356816,0.255375
451000,0,9.06489,-377.769,0.377055,0.31625
452000,0,7.88652,-380.646,0.562946,0.233333
453000,0,8.38719,-379.394,0.278619,0.281667
454000,0,9.15761,-377.415,0.126037,0.29175
455000,0,9.06173,-377.513,0.235567,0.246
456000,0,8.19193,-378.238,0.27315,0.229333
457000,1,17.7024,-377.987,0.279803,0.2324
458000,0,7.43941,-377.421,1.6117,0.282
459000,0,9.34819,-377.794,0.0521783,0.27675
460000,0,8.73743,-377.776,0.673746,0.273
461000,0,7.64565,-378.162,1.70084,0.259
462000,0,8.67064,-378.087,0.00750814,0.259
463000,1,17.4343,-379.272,1.02817,0.478
464000,0,8.61901,-377.731,0.444696,0.241
465000,0,8.90554,-377.447,0.493708,0.255
466000,0,9.33869,-377.705,0.161945,0.309
467000,0,8.47974,-377.741,0.661697,0.288
468000,1,11.47,-377.998,1.85667,0.257
469000,0,8.90858,-377.627,0.295966,0.241
470000,0,6.67665,-378.659,1.42825,0.277
471000,0,7.2829,-379.988,0.263096,0.176
472000,0,7.56249,-380.147,0.175997,0.207
473000,0,8.96737,-377.865,0.561928,0.284455
474000,0,9.57404,-377.812,0.00312921,0.285
475000,0,8.91879,-378.136,0.27777,0.294333
476000,0,8.38113,-378.488,1.05108,0.226
477000,0,9.13665,-379.221,0.0732732,0.286
478000,1,15.7133,-375.588,1.52283,0.26325
479000,1,16.2798,-375.562,0.720932,0.292714
480000,2,21.2839,-376.284,1.73421,0.4055
481000,0,8.715,-379.498,0.635944,0.414
482000,0,8.86485,-377.427,0.486629,0.406333
483000,0,8.81909,-378.888,0.456703,0.2765
484000,0,9.05826,-379.324,0.228789,0.236
485000,0,8.8671,-377.664,0.689144,0.311125
486000,1,14.3289,-379.679,0.703545,0.3115
487000,0,8.4857,-379.604,0.289727,0.2572
488000,1,16.5973,-374.318,0.8118,0.278737
489000,0,8.33941,-377.554,1.146,0.351
490000,0,8.96014,-377.941,0.472231,0.3328
491000,0,9.17592,-377.643,0.300876,0.287
492000,0,9.05977,-378.051,0.424333,0.273
493000,0,9.25225,-377.454,0.12029,0.382
494000,0,9.30816,-377.593,0.223323,0.29
495000,0,8.87916,-377.454,0.252566,0.299375
496000,0,8.65994,-378.212,0.601454,0.314667
497000,0,8.78811,-378.166,0.243279,0.252
498000,0,9.35974,-378.026,0.112781,0.2945
499000,1,17.0303,-383.765,0.764549,0.297
500000,1,16.6032,-381.656,0.357946,0.2872
501000,0,9.08307,-377.961,0.167939,0.296
502000,0,8.77723,-377.674,0.310846,0.224
503000,0,9.27455,-379.268,0.033539,0.292
504000,0,9.5959,-378.14,0.00151443,0.322
505000,0,8.38098,-377.572,1.08666,0.308714
506000,0,8.65157,-382.291,0.514194,0.2795
507000,0,8.26028,-377.938,1.0514,0.458
508000,0,8.94094,-378.119,0.016357,0.433
509000,0,8.68675,-377.82,0.770043,0.35425
510000,2,22.8754,-380.953,1.37576,0.322625
511000,0,8.52901,-377.554,0.804737,0.388
512000,1,14.8079,-379.814,1.7617,0.309
513000,0,8.66987,-378.725,0.323148,0.29925
514000,0,9.02557,-377.546,0.340395,0.236
515000,0,8.02021,-379.014,0.654006,0.237857
516000,0,8.60491,-378.77,0.232608,0.281
517000,0,8.02638,-377.806,1.25912,0.279462
518000,0,9.21338,-379.555,0.0945653,0.262
519000,0,8.71938,-377.662,0.603969,0.288
520000,0,8.69412,-377.652,0.133576,0.368
521000,0,8.95505,-377.985,0.0595297,0.283556
522000,0,8.77222,-377.925,0.443388,0.275
523000,0,8.02294,-379.398,0.234438,0.3452
524000,0,9.22302,-377.495,0.147173,0.2475
525000,0,9.43906,-378.352,0.0435941,0.288
526000,1,16.4855,-374.39,0.714792,0.419
527000,0,8.70441,-377.746,0.790667,0.32
528000,1,17.6659,-375.268,0.73911,0.288375
529000,0,9.22155,-377.654,0.0670656,0.273
530000,1,16.6806,-379.683,1.66603,0.291
531000,0,8.61933,-377.415,0.498734,0.353
532000,0,9.0861,-377.875,0.201148,0.271
533000,0,8.85905,-377.86,0.449763,0.32375
534000,0,6.58061,-377.704,2.54525,0.308
535000,1,12.3065,-375.575,0.541972,0.377
536000,1,15.5943,-380.608,0.478411,0.497
537000,0,8.24254,-379.766,0.353013,0.272
538000,0,8.91233,-378.266,0.676792,0.34825
539000,0,8.87327,-377.544,0.519987,0.333
540000,0,8.69985,-377.649,0.0668625,0.314923
541000,1,15.4386,-374.511,0.214347,0.266
542000,0,8.69199,-377.738,0.168948,0.323
543000,0,8.2603,-379.576,0.02375,0.309
544000,0,9.22042,-378.008,0.157767,0.299333
545000,1,14.7255,-378.85,1.59738,0.409
546000,0,7.65753,-379.397,1.24609,0.28
547000,0,9.03527,-378.654,0.0947945,0.259
548000,0,8.75828,-378.496,0.192215,0.3402
549000,0,8.72548,-377.547,0.258154,0.291
550000,0,7.41785,-379.471,1.20792,0.289
551000,0,8.63786,-378.565,0.179819,0.319583
552000,0,8.47432,-377.438,0.508186,0.265
553000,1,16.2644,-379.288,1.66534,0.271
554000,0,7.75133,-377.539,1.01381,0.315
555000,0,8.7915,-377.981,0.00271009,0.317
556000,0,8.80493,-377.857,0.209814,0.28025
557000,0,8.93342,-377.912,0.0400094,0.249
558000,0,8.41241,-378.907,0.354922,0.307333
559000,0,8.59957,-377.636,0.644928,0.273667
560000,1,16.0498,-380.039,0.948189,0.336
561000,0,8.33602,-379.333,0.331514,0.339
562000,0,8.23753,-379.5,0.462625,0.22
563000,0,4.67248,-380.797,3.74653,0.181
564000,2,23.7456,-381.967,0.314944,0.270833
565000,0,9.00438,-377.856,0.297452,0.312
566000,0,8.14638,-379.065,0.00196238,0.3225
567000,0,7.66385,-378.797,0.556097,0.226
568000,0,8.53209,-377.904,0.435595,0.289667
